MOLREGNO,SMILES,MOST_ACIDIC,MOST_BASIC,TRADE_NAME,CHARGE_STATE,Name,CX_Acidic_1,CX_Acidic_2,CX_Basic_1,CX_Basic_2,Delta Acidic,Delta Basic,N_Count,O_Count,Organic
1124,CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N,7.31,,METHAZOLAMIDE,Neutral,1124,,,,,,,4.0,3.0,True
1125,CC(=O)Nc1nnc(s1)S(=O)(=O)N,7.44,,ACETAZOLAMIDE,Neutral,1125,6.93,,,,0.51,,4.0,3.0,True
1159,Nc1ccc(cc1)S(=O)(=O)N,10.1,1.85,AVC,Neutral,1159,,,,,,,2.0,2.0,True
1216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,6.9,BACTRIM,Neutral,1216,,,7.16,,,-0.26,4.0,3.0,True
1223,OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3,2.89,0.75,AZULFIDINE,Charged,1223,3.3,6.75,,,-0.41,,4.0,5.0,True
1279,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,13.88,9.43,ATENOLOL,Charged,1279,,,9.67,,,-0.24,2.0,3.0,True
1280,CC(=O)Oc1ccccc1C(=O)O,3.48,,8-HOUR BAYER,Charged,1280,3.41,,,,0.07,,0.0,4.0,True
1620,CNC(=N/CCSCc1nc[nH]c1C)NC#N,,7.07,CIMETIDINE,Neutral,1620,,,,,,,6.0,0.0,True
1712,COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O,6.43,8.72,GATIFLOXACIN,Charged,1712,5.69,,8.73,,0.74,-0.01,3.0,4.0,True
1795,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,5.19,7.37,IQUIX,Charged,1795,5.45,,,,-0.26,,3.0,4.0,True
1991,[Na+].CCCC(CCC)C(=O)[O-],4.82,,DEPACON,Charged,1991,5.14,,,,-0.32,,0.0,2.0,True
2045,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,8.95,,ACCURETIC,Neutral,2045,,,,,,,3.0,4.0,True
2046,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,3.04,,FUROSEMIDE,Charged,2046,4.25,,,,-1.21,,2.0,5.0,True
2080,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,,7.18,DARAPRIM,Neutral,2080,,,7.77,,,-0.59,4.0,0.0,True
2095,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,7.24,2.19,GYNE-SULF,Neutral,2095,6.93,,,,0.31,,3.0,2.0,True
2130,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,7.35,1.58,LANTRISUL,Neutral,2130,6.99,,,,0.36,,4.0,2.0,True
2131,Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,6.81,1.57,LANTRISUL,Neutral,2131,6.99,,,,-0.18,,4.0,2.0,True
2208,CC(=C/C=C/C(=C/C(=O)O)/C)C=CC1=C(C)CCCC1(C)C,4.73,,ATRALIN,Charged,2208,5.0,,,,-0.27,,0.0,2.0,True
2247,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1,5.81,1.39,AZO GANTANOL,Charged,2247,6.16,,,,-0.35,,3.0,3.0,True
2261,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,,7.33,CLOZAPINE,Neutral,2261,,,7.75,,,-0.42,4.0,0.0,True
2265,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,7.89,1.08,LANTRISUL,Neutral,2265,6.99,,,,0.9,,4.0,2.0,True
2327,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,7.93,,NEMBUTAL,Neutral,2327,,,,,,,2.0,3.0,True
2408,CCC1(CC)C(=O)NC(=O)N(C)C1=O,8.27,,GEMONIL,Neutral,2408,,,,,,,2.0,3.0,True
2431,CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3,,2.38,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,Neutral,2431,,,,,,,3.0,1.0,True
2465,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,11.21,1.55,CLONAZEPAM,Neutral,2465,,,,,,,3.0,3.0,True
2484,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,4.83,1.52,AZO GANTRISIN,Charged,2484,5.8,,,,-0.97,,3.0,3.0,True
2524,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,7.78,,ANOQUAN,Neutral,2524,,,,,,,2.0,3.0,True
2525,CC(=O)NS(=O)(=O)c1ccc(N)cc1,5.43,0.93,GYNE-SULF,Charged,2525,4.3,,,,1.13,,2.0,3.0,True
2654,CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.81,,EDECRIN,Charged,2654,2.8,,,,0.01,,0.0,4.0,True
2994,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,4.76,,GEMFIBROZIL,Charged,2994,4.42,,,,0.34,,0.0,3.0,True
3183,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,,7.5,ONDANSETRON,Neutral,3183,,,7.34,,,0.16,3.0,1.0,True
3345,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,11.4,,BEROCCA PN,Neutral,3345,,,,,,,0.0,2.0,True
3730,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,2.28,8.85,ALDOCLOR-150,Charged,3730,1.73,,9.85,,0.55,-1.0,1.0,4.0,True
3784,CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2,9.56,,ACTINEX,Neutral,3784,,,,,,,0.0,4.0,True
3859,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,13.86,8.04,HALDOL,Charged,3859,,,8.05,,,-0.01,1.0,2.0,True
4193,CCOC(=O)C=C(/C)C=CC=C(/C)C=Cc1c(C)cc(OC)c(C)c1C,,,TEGISON,Neutral,4193,,,,,,,0.0,3.0,True
4345,Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12,12.05,4.25,NEVIRAPINE,Neutral,4345,,,,,,,4.0,1.0,True
4496,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,9.81,,DRONABINOL,Neutral,4496,,,,,,,0.0,2.0,True
4730,NC(=O)NO,10.56,,DROXIA,Neutral,4730,,,,,,,2.0,2.0,True
4775,COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24,13.26,,CONDYLOX,Neutral,4775,,,,,,,0.0,8.0,True
4941,NNC(=O)c1ccncc1,11.4,3.79,DOW-ISONIAZID,Neutral,4941,,,,,,,3.0,1.0,True
5028,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,10.7,,THALOMID,Neutral,5028,,,,,,,2.0,4.0,True
5582,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,5.11,,DIABETA,Charged,5582,4.32,,,,0.79,,3.0,5.0,True
5638,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,8.98,8.28,TIKOSYN,Charged,5638,,,8.99,,,-0.71,3.0,5.0,True
5772,CN(C)N=Nc1[nH]cnc1C(=O)N,11.45,3.93,DACARBAZINE,Neutral,5772,5.89,,,,5.56,,6.0,1.0,True
5797,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,13.11,3.82,ADENOCARD,Neutral,5797,,,,,,,5.0,4.0,True
5970,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,,9.84,MELLARIL-S,Charged,5970,,,8.93,,,0.91,2.0,0.0,True
5975,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c2nc3ccccc3[nH]2,7.65,1.97,LANSOPRAZOLE,Neutral,5975,,,,,,,3.0,2.0,True
6216,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,,9.41,THORAZINE,Charged,6216,,,9.2,,,0.21,2.0,0.0,True
6317,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2,11.6,4.41,CYTADREN,Neutral,6317,,,,,,,2.0,2.0,True
6480,[Na+].[Na+].OC(COc1cccc2OC(=CC(=O)c12)C(=O)[O-])COc3cccc4OC(=CC(=O)c34)C(=O)[O-],1.94,,CROLOM,Charged,6480,1.76,2.36,,,0.18,,0.0,11.0,True
6723,CCN(CC)CC(=O)Nc1c(C)cccc1C,,7.96,ALPHACAINE,Neutral,6723,,,7.75,,,0.21,2.0,1.0,True
7494,CC#CCC(C)[C@H](O)C=C[C@H]1[C@H](O)C[C@@H]2CC(=C/CCCC(=O)O)C[C@H]12,4.77,,VENTAVIS,Charged,7494,4.66,,,,0.11,,0.0,4.0,True
7714,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,,8.07,RISPERDAL,Charged,7714,,,8.76,,,-0.69,4.0,2.0,True
8062,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,11.9,,ABRAXANE,Neutral,8062,,,,,,,1.0,14.0,True
8130,CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,4.77,,ALPROSTADIL,Charged,8130,4.35,,,,0.42,,0.0,5.0,True
8167,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,6.49,,DIAL,Neutral,8167,5.15,,,,1.34,,0.0,2.0,True
8193,Oc1c(I)cc(Cl)c2cccnc12,2.32,7.23,NYSTAFORM,Charged,8193,,,,,,,1.0,1.0,True
8516,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.72,,CHLORPROPAMIDE,Charged,8516,4.33,,,,0.39,,2.0,3.0,True
8531,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,13.38,9.35,BETIMOL,Charged,8531,,,9.76,,,-0.41,4.0,3.0,True
8543,CC(C)NCC(O)COc1cccc2[nH]ccc12,13.94,9.54,PINDOLOL,Charged,8543,,,9.67,,,-0.13,2.0,2.0,True
8838,CC(N)Cc1ccccc1.OS(=O)(=O)O,,9.94,ADDERALL 10,Charged,8838,,,10.01,,,-0.07,1.0,4.0,True
8873,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)C=CC=CC=CC=CC=CC=CC=C[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O,3.72,8.12,ABELCET,Charged,8873,3.58,,9.11,,0.14,-0.99,1.0,17.0,True
8917,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,,6.65,MONISTAT,Neutral,8917,,,,,,,2.0,1.0,True
9097,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,11.2,,DOCEFREZ,Neutral,9097,,,,,,,1.0,14.0,True
9217,CC(N(O)C(=O)N)c1cc2ccccc2s1,9.97,,ZYFLO,Neutral,9217,,,,,,,2.0,2.0,True
9495,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,13.49,,ADVICOR,Neutral,9495,,,,,,,0.0,5.0,True
10009,C[S+](C)[O-],-4.54,,DIMETHYL SULFOXIDE,Charged,10009,,,,,,,0.0,1.0,True
10840,ClCCNC(=O)N(CCCl)N=O,10.19,,BICNU,Neutral,10840,,,,,,,3.0,2.0,True
10898,ClCCN(N=O)C(=O)NC1CCCCC1,10.88,,CEENU,Neutral,10898,,,,,,,3.0,2.0,True
11002,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,4.82,4.62,LEUKERAN,Charged,11002,4.46,,,,0.36,,1.0,2.0,True
11305,ONC(=O)CCCCCCC(=O)Nc1ccccc1,9.48,0.5,ZOLINZA,Neutral,11305,,,,,,,2.0,3.0,True
11674,CC(C)Cc1ccc(cc1)C(C)C(=O)O,4.41,,ACHES-N-PAIN,Charged,11674,4.85,,,,-0.44,,0.0,2.0,True
11819,CC(C)c1cccc(C(C)C)c1O,11.0,,DIPRIVAN,Neutral,11819,,,,,,,0.0,1.0,True
11968,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ccccn3,4.5,3.55,FELDENE,Charged,11968,4.76,,,,-0.26,,3.0,4.0,True
12417,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,4.64,,AZOLID,Charged,12417,5.13,,,,-0.49,,2.0,2.0,True
12428,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,13.28,8.59,AZASITE,Charged,12428,,,9.57,8.91,,-0.98,2.0,12.0,True
12465,CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O,,9.04,COACTIN,Charged,12465,3.3,,7.92,,,1.12,3.0,3.0,True
12506,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,13.09,8.16,A/T/S,Charged,12506,,,8.38,,,-0.22,1.0,13.0,True
12825,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,CRINONE,Neutral,12825,,,,,,,0.0,2.0,True
13329,Oc1ccc(O)cc1,10.33,,TRI-LUMA,Neutral,13329,,,,,,,0.0,2.0,True
13342,CC(=O)O,4.79,,ACETASOL,Charged,13342,4.54,,,,0.25,,0.0,2.0,True
13474,COc1ccc(O)cc1,10.4,,SOLAGE,Neutral,13474,,,,,,,0.0,2.0,True
13494,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,,6.12,CLOTRIMAZOLE,Neutral,13494,,,,,,,2.0,0.0,True
13590,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N,13.27,5.08,MITOMYCIN,Neutral,13590,0.91,,,,12.36,,4.0,5.0,True
13618,CCO,,,ALCOHOL 10% AND DEXTROSE 5%,Neutral,13618,,,,,,,0.0,1.0,True
13758,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,11.01,2.94,DIFLUCAN,Neutral,13758,,,,,,,6.0,1.0,True
13928,CC(=CC(=O)O)C=CC=C(/C)C=CC1=C(C)CCCC1(C)C,4.76,,ABSORICA,Charged,13928,5.0,,,,-0.24,,0.0,2.0,True
13949,COc1cc(ccc1OCCCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)C,,8.43,FANAPT,Charged,13949,,,7.91,,,0.52,2.0,4.0,True
14125,CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CC=C/CCCC(=O)O,4.75,,CERVIDIL,Charged,14125,4.3,,,,0.45,,0.0,5.0,True
14406,CC[C@H]1[C@@H](Cc2cncn2C)COC1=O,,7.02,OCUSERT PILO-20,Neutral,14406,,,,,,,2.0,2.0,True
14440,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,,,COL-PROBENECID,Neutral,14440,,,,,,,1.0,6.0,True
15086,NC(=O)N1c2ccccc2C=Cc3ccccc13,13.94,,CARBAMAZEPINE,Neutral,15086,,,,,,,2.0,1.0,True
15217,CCCC(CCC)C(=O)O,4.82,,DEPAKENE,Charged,15217,5.14,,,,-0.32,,0.0,2.0,True
15990,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,2.12,8.27,EUTHROID-0.5,Charged,15990,0.27,,9.43,,1.85,-1.16,1.0,4.0,True
16303,COC1=CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,,,FULVICIN P/G,Neutral,16303,,,,,,,0.0,6.0,True
16308,CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2,4.14,,ANSAID,Charged,16308,4.42,,,,-0.28,,0.0,2.0,True
16415,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,,,ATROMID-S,Neutral,16415,,,,,,,0.0,3.0,True
16450,CC(=O)Nc1ccc(O)cc1,9.86,1.72,ACEPHEN,Neutral,16450,,,,,,,1.0,2.0,True
16485,CN1C(=O)N(C)c2ncn(C)c2C1=O,,0.52,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",Neutral,16485,,,,,,,4.0,2.0,True
16505,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,,7.39,ETRAFON 2-10,Neutral,16505,,,8.21,,,-0.82,3.0,1.0,True
16506,OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,10.94,1.17,OXAZEPAM,Neutral,16506,,,,,,,2.0,2.0,True
16510,C[S+]([O-])c1ccc(C=C/2C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1,-5.89,,CLINORIL,Charged,16510,4.09,,,,-9.98,,0.0,3.0,True
16584,CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F,,9.4,VESPRIN,Charged,16584,,,9.2,,,0.2,2.0,0.0,True
16591,CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2,4.23,,ACTRON,Charged,16591,3.88,,,,0.35,,0.0,3.0,True
16592,[O-][N+](=O)c1oc(C=NN2CC(=O)NC2=O)cc1,7.55,,FURADANTIN,Neutral,16592,,,,,,,4.0,5.0,True
16654,Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,,,GAMENE,Neutral,16654,,,,,,,0.0,0.0,False
16656,OC(=O)c1cccnc1,2.2,4.8,ADVICOR,Charged,16656,2.79,,,,-0.59,,1.0,2.0,True
16959,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,10.8,0.17,ATIVAN,Neutral,16959,,,,,,,2.0,2.0,True
17025,CC(C)O,,,CHLORAPREP ONE-STEP,Neutral,17025,,,,,,,0.0,1.0,True
17169,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4,11.05,6.3,FORTOVASE,Neutral,17169,,,8.47,,,-2.17,6.0,5.0,True
17347,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3,11.54,1.76,AGENERASE,Neutral,17347,,,,,,,3.0,6.0,True
17411,Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,,6.19,DYAZIDE,Neutral,17411,,,,,,,7.0,0.0,True
18694,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,9.68,,CELEBREX,Neutral,18694,,,,,,,3.0,2.0,True
19344,CC1=CC(=O)c2ccccc2C1=O,,,MENADIONE,Neutral,19344,,,,,,,0.0,2.0,True
19469,CCC(O)(C=CCl)C#C,12.06,,ETHCHLORVYNOL,Neutral,19469,,,,,,,0.0,1.0,True
19915,CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,,8.92,DURAGESIC-100,Charged,19915,,,8.77,,,0.15,2.0,1.0,True
20346,C(N1CCCNCCNCCCNCC1)c2ccc(CN3CCCNCCNCCCNCC3)cc2,,10.6,MOZOBIL,Charged,20346,,,10.54,10.04,,0.06,8.0,0.0,True
20496,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,4.5,3.18,MELOXICAM,Charged,20496,4.47,,,,0.03,,3.0,4.0,True
20881,CC(=O)N[C@@H](CS)C(=O)O,3.25,,ACETADOTE,Charged,20881,3.82,,,,-0.57,,1.0,3.0,True
21459,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,9.17,7.5,VIVITROL,Neutral,21459,,,8.88,,,-1.38,1.0,4.0,True
21523,COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5C,4.94,0.73,ACCOLATE,Charged,21523,4.29,,,,0.65,,3.0,6.0,True
21697,CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3,,,VIOXX,Neutral,21697,,,,,,,0.0,4.0,True
21845,Cl.CCN(CC)CCNC(=O)c1ccc(N)cc1,,9.09,PROCAINAMIDE HYDROCHLORIDE,Charged,21845,,,9.04,,,0.05,3.0,1.0,True
22391,CCCCC(C)(O)CC=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,13.92,,ARTHROTEC,Neutral,22391,,,,,,,0.0,5.0,True
22641,CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,10.27,,LORELCO,Neutral,22641,,,,,,,0.0,2.0,True
23199,C[C@H](N)Cc1ccccc1,,9.94,BIPHETAMINE 12.5,Charged,23199,,,10.01,,,-0.07,1.0,0.0,True
23522,NC(=O)c1cnccn1,13.91,0.87,PYRAZINAMIDE,Neutral,23522,,,,,,,3.0,1.0,True
24418,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4.CS(=O)(=O)O,11.05,6.3,INVIRASE,Neutral,24418,,,8.47,,,-2.17,6.0,8.0,True
24806,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,2.44,,V-CILLIN,Charged,24806,3.39,,,,-0.95,,2.0,5.0,True
26280,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,,5.75,LINEZOLID,Neutral,26280,,,,,,,3.0,4.0,True
26386,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,4.27,8.31,MEROPENEM,Charged,26386,3.47,,9.39,,0.8,-1.08,3.0,5.0,True
26431,CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12,4.31,,ETODOLAC,Charged,26431,4.73,,,,-0.42,,1.0,3.0,True
26590,c1ccc2[nH]c(nc2c1)c3cscn3,10.53,3.4,MINTEZOL,Neutral,26590,,,,,,,3.0,0.0,True
